date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:16:20	6364/6364	---M--	502	error ('Bad%20Gateway')	text/html	date:Tue,%2012%20Nov%202024%2007:16:20%20GMT	https://www.fairchild.tv/project-introduction/mtv-africa-music-awards-2016	/Users/sibonelo/Downloads/Mnotho/www.fairchild.tv/project-introduction/mtv-africa-music-awards-2016	(from https://www.fairchild.tv/work)
09:16:22	16235/16235	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Nov%202024%2000:15:52%20GMT	https://www.fairchild.tv/project-introduction/nickelodeon-genius-tvc	/Users/sibonelo/Downloads/Mnotho/www.fairchild.tv/project-introduction/nickelodeon-genius-tvc.html	(from https://www.fairchild.tv/work)
09:16:22	6364/6364	---M--	502	error ('Bad%20Gateway')	text/html	date:Tue,%2012%20Nov%202024%2007:16:22%20GMT	https://www.fairchild.tv/project-introduction/mtv-africa-music-awards-2015	/Users/sibonelo/Downloads/Mnotho/www.fairchild.tv/project-introduction/mtv-africa-music-awards-2015	(from https://www.fairchild.tv/work)
09:16:23	6364/6364	---M--	502	error ('Bad%20Gateway')	text/html	date:Tue,%2012%20Nov%202024%2007:16:23%20GMT	https://www.fairchild.tv/all-of-our-awards	/Users/sibonelo/Downloads/Mnotho/www.fairchild.tv/all-of-our-awards	(from https://www.fairchild.tv/awards)
09:16:24	6364/6364	---M--	502	error ('Bad%20Gateway')	text/html	date:Tue,%2012%20Nov%202024%2007:16:24%20GMT	https://www.fairchild.tv/%22https://cdn.prod.website-files.com/62d7d408f77d81d871ac1f11/633e8691718e569207254277_bgweb-poster-00001.jpg%22	/Users/sibonelo/Downloads/Mnotho/www.fairchild.tv/_https_/cdn.prod.website-files.com/62d7d408f77d81d871ac1f11/633e8691718e569207254277_bgweb-poster-00001.html	(from https://www.fairchild.tv/)
09:16:24	6364/6364	---M--	502	error ('Bad%20Gateway')	text/html	date:Tue,%2012%20Nov%202024%2007:16:24%20GMT	https://www.fairchild.tv/%22https://cdn.prod.website-files.com/62d7d408f77d81d871ac1f11/6321b731a3ecf870196c92a9_Teaser%20Vid-poster-00001.jpg%22	/Users/sibonelo/Downloads/Mnotho/www.fairchild.tv/_https_/cdn.prod.website-files.com/62d7d408f77d81d871ac1f11/6321b731a3ecf870196c92a9_Teaser%20Vid-poster-00001.html	(from https://www.fairchild.tv/)
09:16:25	6364/6364	---M--	502	error ('Bad%20Gateway')	text/html	date:Tue,%2012%20Nov%202024%2007:16:25%20GMT	https://www.fairchild.tv/project-introduction/%22https://cdn.prod.website-files.com/62fe0d5f18646e544e402fbc/633415fc968fd32bfcbaa200_Spanking%20New%20Thumb.png%22	/Users/sibonelo/Downloads/Mnotho/www.fairchild.tv/project-introduction/_https_/cdn.prod.website-files.com/62fe0d5f18646e544e402fbc/633415fc968fd32bfcbaa200_Spanking%20New%20Thumb.1f.delayed	(from https://www.fairchild.tv/project-introduction/mtv-base-spanking-new-2022)
09:16:26	6364/6364	---M--	502	error ('Bad%20Gateway')	text/html	date:Tue,%2012%20Nov%202024%2007:16:26%20GMT	https://www.fairchild.tv/project-introduction/s3-fearless-by-nature	/Users/sibonelo/Downloads/Mnotho/www.fairchild.tv/project-introduction/s3-fearless-by-nature.html	(from https://www.fairchild.tv/)
09:16:26	6364/6364	---M--	502	error ('Bad%20Gateway')	text/html	date:Tue,%2012%20Nov%202024%2007:16:26%20GMT	https://www.fairchild.tv/project-introduction/%22https://cdn.prod.website-files.com/62fe0d5f18646e544e402fbc/633415a9417045144af6b1cb_SENZO%20Thumb.png%22	/Users/sibonelo/Downloads/Mnotho/www.fairchild.tv/project-introduction/_https_/cdn.prod.website-files.com/62fe0d5f18646e544e402fbc/633415a9417045144af6b1cb_SENZO%20Thumb.png_	(from https://www.fairchild.tv/project-introduction/netflix-who-killed-senzo)
09:16:27	6364/6364	---M--	502	error ('Bad%20Gateway')	text/html	date:Tue,%2012%20Nov%202024%2007:16:27%20GMT	https://www.fairchild.tv/project-introduction/%22https://cdn.prod.website-files.com/62fe0d5f18646e544e402fbc/6373730fceeed744c50fb2fc_Screenshot%202022-11-15%20at%2013.06.53.png%22	/Users/sibonelo/Downloads/Mnotho/www.fairchild.tv/project-introduction/_https_/cdn.prod.website-files.com/62fe0d5f18646e544e402fbc/6373730fceeed744c50fb2fc_Screenshot%202022-11-15%20at%2013.06.53.png_	(from https://www.fairchild.tv/project-introduction/mtv-queens-of-base)
